ID,survey_time,surv_t,feed,trip_purp,ac_st,mode,tt,tc,b1,b2,b3,b4,b5,c1,c2,c3,c4,trip_freq,gen_purp,age,gen,occ,month_inc,veh_own_car,veh_own_bike,veh_own_cyc,mrt_pass,bus_av,car_av,leg_av,rick_av,walk_av,bike_av,cng_av,car_dist,car_tt,car_cost,bus_dist,bus_tt,bus_cost,leg_dist,leg_tt,leg_cost,walk_dist,walk_tt,walk_cost,bike_dist,bike_tt,bike_cost,rick_dist,rick_tt,rick_cost,cng_dist,cng_tt,cng_cost
30,2:18:00 PM,3,1,4,12,1,5,10,0,0,0,0,0,0,0,0,0,6,4,40,0,4,60,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,7,29,1.9,24,10,1.9,12.4,15,1.5,21,0,1.9,8.9,49,1.5,12.1,35,1.9,10.3,100
31,2:22:00 PM,3,1,7,12,1,5,10,0,1,0,0,0,0,0,0,0,4,4,20,0,4,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
32,2:30:00 PM,3,1,6,7,2,5,75,0,0,0,0,0,0,0,0,0,6,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,6,24,0.6,8,10,1.6,10.4,15,0.6,8,0,1.6,7.5,44,0.6,4.8,25,1.6,8.7,100
33,2:35:00 PM,3,1,7,12,7,15,10,0,1,0,0,0,0,0,0,0,6,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,2.8,9,42,2.8,24,10,2.8,18.2,19,2.7,37,0,2.8,13.2,62,2.7,21.8,60,2.8,15.2,130
34,10:16:00 AM,1,1,2,16,2,25,75,1,0,0,0,1,0,1,0,0,6,2,20,1,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,0,1,3.3,12,50,4.9,39,10,3.3,21.5,21.5,2.9,41,0,3.3,15.5,70,2.9,23.4,60,3.3,18,139
35,10:07:00 AM,1,1,2,14,2,25,35,1,0,0,0,0,0,0,0,0,4,2,20,0,1,5,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.6,14,54,4,45,10,3.6,23.5,23,3.5,50,0,3.6,16.9,74,3.5,28.3,70,3.6,19.6,148
36,4:00:00 PM,4,1,7,6,1,5,10,0,0,0,0,0,0,0,0,0,6,2,20,1,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,7.3,19,110,6.6,44,15,7.3,47.6,41.5,6.6,91,0,7.3,34.4,130,6.6,53.3,120,7.3,39.7,259
37,10:29:00 AM,1,1,2,4,1,5,10,0,0,0,0,1,0,0,0,0,3,2,30,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.9,5,14,0.6,8,10,0.9,5.9,10,0.6,8,0,0.9,4.2,34,0.6,4.8,25,0.9,4.9,100
38,4:10:00 PM,4,1,2,11,1,5,10,0,0,0,0,0,0,1,0,0,3,2,20,0,1,5,0,1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
39,10:41:00 AM,1,1,2,1,7,45,75,1,0,0,0,1,0,0,0,0,4,2,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2,5,30,1.9,27,10,2,13,15,1.9,27,0,2,9.4,50,1.9,15.4,40,2,10.9,100
40,4:15:00 PM,4,1,7,11,7,15,10,0,0,0,0,1,0,0,1,0,5,4,40,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
41,2:15:00 PM,3,1,3,12,2,5,35,0,0,0,1,0,0,0,0,0,4,3,30,0,5,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,7,24,2.1,25,10,1.6,10.4,15,1.5,21,0,1.6,7.5,44,1.5,12.1,35,1.6,8.7,100
42,10:55:00 AM,1,1,7,14,2,25,75,1,0,0,0,0,0,0,0,0,3,4,30,0,4,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3,10,45,3.9,35,10,3,19.5,20,2.8,40,0,3,14.1,65,2.8,22.6,60,3,16.3,130
43,4:13:00 PM,4,1,7,11,2,15,10,0,0,0,0,1,0,0,0,0,6,2,20,0,1,5,0,1,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,5.7,15,86,6.8,43,15,5.7,37.1,33.5,5.1,71,0,5.7,26.8,106,5.1,41.2,95,5.7,31,211
44,11:06:00 AM,2,1,2,7,2,15,35,1,0,0,0,0,0,0,0,0,5,2,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,6,24,0.6,8,10,1.6,10.4,15,0.6,8,0,1.6,7.5,44,0.6,4.8,25,1.6,8.7,100
45,4:28:00 PM,4,1,6,11,1,5,10,0,0,0,0,0,0,0,1,0,4,2,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
46,4:33:00 PM,4,1,2,11,2,25,75,0,0,0,0,0,0,0,1,0,5,2,30,1,1,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
47,11:25:00 AM,2,1,4,14,2,15,75,1,0,0,0,0,0,0,0,0,2,4,30,1,1,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,0,1,2.8,10,42,4.3,35,10,2.8,18.2,19,2.5,35,0,2.8,13.2,62,2.5,20.2,55,2.8,15.2,130
48,11:35:00 AM,2,1,4,9,1,15,10,1,0,0,0,0,0,0,0,0,5,4,30,0,4,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,2.3,29,10,1.9,12.4,15,1.8,25,0,1.9,8.9,49,1.8,14.5,40,1.9,10.3,100
49,11:54:00 AM,2,1,4,12,7,25,10,1,0,0,0,0,0,0,0,0,4,4,30,0,4,60,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.2,12,48,4.6,37,10,3.2,20.8,21,2.7,37,0,3.2,15.1,68,2.7,21.8,60,3.2,17.4,136
