ID,survey_time,surv_t,trip_purp,ac_st,ac_mode,ac_tt,ac_tc,b1,b2,b3,b4,b5,ac1,ac2,ac3,ac4,trip_freq,gen_purp,age,gen,occ,month_inc,veh_own_car,veh_own_bike,veh_own_cyc,mrt_pass,bus_av,car_av,leg_av,rick_av,walk_av,bike_av,cng_av,car_dist,car_tt,car_cost,bus_dist,bus_tt,bus_cost,leg_dist,leg_tt,leg_cost,walk_dist,walk_tt,walk_cost,bike_dist,bike_tt,bike_cost,rick_dist,rick_tt,rick_cost,cng_dist,cng_tt,cng_cost
11,12:30:00 PM,2,2,13,7,70,35,1,0,0,0,0,0,0,0,0,4,2,20,0,1,5,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,10.6,30,159,10.7,65,25,10.6,69.1,58,10.3,142,0,10.6,49.9,179,10.3,83.2,180,10.6,57.7,358
12,12:30:00 PM,2,2,11,2,15,10,0,1,0,0,0,0,0,0,0,6,2,20,1,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,3.9,13,59,1,13,10,3.9,25.4,24.5,1,13,0,3.9,18.4,79,1,8.1,30,3.9,21.2,157
13,9:56:00 AM,1,4,9,2,5,35,0,0,0,0,0,0,0,0,0,6,4,40,0,4,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,1.3,18,10,1.9,12.4,15,1.3,18,0,1.9,8.9,49,1.3,10.5,30,1.9,10.3,100
14,10:15:00 AM,1,7,14,2,5,35,1,0,0,0,0,0,0,0,0,5,2,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,5,24,1.5,22,10,1.6,10.4,15,1.5,22,0,1.6,7.5,44,1.5,12.1,35,1.6,8.7,100
15,10:10:00 AM,1,2,14,2,15,75,0,0,0,0,0,0,0,0,0,5,2,20,1,1,20,1,1,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,2.8,11,42,2.7,37,10,2.8,18.2,19,2.4,34,0,2.8,13.2,62,2.4,19.4,55,2.8,15.2,130
16,10:20:00 AM,1,2,5,7,15,10,1,0,0,0,0,0,1,0,0,5,2,20,0,1,5,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.6,3,9,0.3,4,10,0.6,3.9,10,0.3,4,0,0.6,2.8,29,0.3,2.4,20,0.6,3.3,100
17,10:38:00 AM,1,6,16,1,15,10,0,0,0,0,0,0,0,0,0,1,6,20,0,1,5,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1,4,15,0.8,11,10,1,6.5,10,0.8,11,0,1,4.7,35,0.8,6.5,25,1,5.4,100
18,11:05:00 AM,2,7,14,2,15,35,1,0,0,0,0,1,0,1,0,4,3,40,0,3,30,0,0,0,1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0.001,1,0,0,5,10,0.001,0,10,0.001,1,0,0.001,0,20,0.001,0,20,0.001,0,100
19,11:12:00 AM,2,2,14,2,15,35,0,0,0,0,1,0,0,0,0,5,2,20,1,1,5,0,1,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.3,5,20,1.3,18,10,1.3,8.5,15,1.3,18,0,1.3,6.1,40,1.3,10.5,30,1.3,7.1,100
20,11:18:00 AM,2,6,14,1,15,10,0,0,0,0,0,0,0,0,0,4,6,20,1,1,5,1,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,11.2,25,168,13.5,89,35,11.2,73,61,10,139,0,11.2,52.7,188,10,80.8,175,11.2,60.9,376
21,11:25:00 AM,2,6,14,2,25,75,0,0,0,0,0,0,1,0,0,4,6,20,1,1,20,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,0,1,2.4,10,36,2.4,33,10,2.4,15.6,17,2.4,33,0,2.4,11.3,56,2.4,19.4,55,2.4,13.1,130
22,11:45:00 AM,2,7,13,1,5,10,1,0,0,1,0,0,0,0,0,4,4,20,0,1,20,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2,8,30,0.9,12,10,2,13,15,0.9,12,0,2,9.4,50,0.9,7.3,25,2,10.9,100
23,12:30:00 PM,2,6,13,7,15,10,0,0,0,0,0,0,0,0,0,4,6,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.3,6,20,0.9,13,10,1.3,8.5,15,0.9,13,0,1.3,6.1,40,0.9,7.3,25,1.3,7.1,100
24,1:03:00 PM,3,4,12,1,5,10,1,0,0,0,0,0,0,0,0,5,4,30,0,4,30,0,1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
25,1:08:00 PM,3,4,12,1,5,10,0,0,0,0,0,0,0,0,0,6,4,30,0,4,60,0,1,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
26,1:20:00 PM,3,8,12,2,25,75,0,0,0,0,0,0,0,1,0,5,1,30,0,5,80,0,1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
27,1:22:00 PM,3,8,12,2,25,75,0,0,0,0,0,0,0,1,0,4,1,40,0,5,150,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
28,1:50:00 PM,3,4,1,1,5,10,0,1,0,0,0,0,0,0,0,6,4,30,1,4,30,0,1,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2,5,30,1.9,27,10,2,13,15,1.9,27,0,2,9.4,50,1.9,15.4,40,2,10.9,100
29,2:10:00 PM,3,7,12,2,15,10,0,0,0,0,0,0,0,1,0,3,6,20,0,1,20,0,1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2.8,12,42,1,14,10,2.8,18.2,19,1,14,0,2.8,13.2,62,1,8.1,30,2.8,15.2,130
30,2:18:00 PM,3,4,12,1,5,10,0,0,0,0,0,0,0,0,0,6,4,40,0,4,60,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,7,29,1.9,24,10,1.9,12.4,15,1.5,21,0,1.9,8.9,49,1.5,12.1,35,1.9,10.3,100
31,2:22:00 PM,3,7,12,1,5,10,0,1,0,0,0,0,0,0,0,4,4,20,0,4,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
32,2:30:00 PM,3,6,7,2,5,75,0,0,0,0,0,0,0,0,0,6,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,6,24,0.6,8,10,1.6,10.4,15,0.6,8,0,1.6,7.5,44,0.6,4.8,25,1.6,8.7,100
33,2:35:00 PM,3,7,12,7,15,10,0,1,0,0,0,0,0,0,0,6,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,2.8,9,42,2.8,24,10,2.8,18.2,19,2.7,37,0,2.8,13.2,62,2.7,21.8,60,2.8,15.2,130
34,10:16:00 AM,1,2,16,2,25,75,1,0,0,0,1,0,1,0,0,6,2,20,1,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,0,1,3.3,12,50,4.9,39,10,3.3,21.5,21.5,2.9,41,0,3.3,15.5,70,2.9,23.4,60,3.3,18,139
35,10:07:00 AM,1,2,14,2,25,35,1,0,0,0,0,0,0,0,0,4,2,20,0,1,5,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.6,14,54,4,45,10,3.6,23.5,23,3.5,50,0,3.6,16.9,74,3.5,28.3,70,3.6,19.6,148
36,4:00:00 PM,4,7,6,1,5,10,0,0,0,0,0,0,0,0,0,6,2,20,1,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,7.3,19,110,6.6,44,15,7.3,47.6,41.5,6.6,91,0,7.3,34.4,130,6.6,53.3,120,7.3,39.7,259
37,10:29:00 AM,1,2,4,1,5,10,0,0,0,0,1,0,0,0,0,3,2,30,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.9,5,14,0.6,8,10,0.9,5.9,10,0.6,8,0,0.9,4.2,34,0.6,4.8,25,0.9,4.9,100
38,4:10:00 PM,4,2,11,1,5,10,0,0,0,0,0,0,1,0,0,3,2,20,0,1,5,0,1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
39,10:41:00 AM,1,2,1,7,45,75,1,0,0,0,1,0,0,0,0,4,2,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2,5,30,1.9,27,10,2,13,15,1.9,27,0,2,9.4,50,1.9,15.4,40,2,10.9,100
40,4:15:00 PM,4,7,11,7,15,10,0,0,0,0,1,0,0,1,0,5,4,40,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
41,2:15:00 PM,3,3,12,2,5,35,0,0,0,1,0,0,0,0,0,4,3,30,0,5,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,7,24,2.1,25,10,1.6,10.4,15,1.5,21,0,1.6,7.5,44,1.5,12.1,35,1.6,8.7,100
42,10:55:00 AM,1,7,14,2,25,75,1,0,0,0,0,0,0,0,0,3,4,30,0,4,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3,10,45,3.9,35,10,3,19.5,20,2.8,40,0,3,14.1,65,2.8,22.6,60,3,16.3,130
43,4:13:00 PM,4,7,11,2,15,10,0,0,0,0,1,0,0,0,0,6,2,20,0,1,5,0,1,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,5.7,15,86,6.8,43,15,5.7,37.1,33.5,5.1,71,0,5.7,26.8,106,5.1,41.2,95,5.7,31,211
44,11:06:00 AM,2,2,7,2,15,35,1,0,0,0,0,0,0,0,0,5,2,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,6,24,0.6,8,10,1.6,10.4,15,0.6,8,0,1.6,7.5,44,0.6,4.8,25,1.6,8.7,100
45,4:28:00 PM,4,6,11,1,5,10,0,0,0,0,0,0,0,1,0,4,2,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
46,4:33:00 PM,4,2,11,2,25,75,0,0,0,0,0,0,0,1,0,5,2,30,1,1,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
47,11:25:00 AM,2,4,14,2,15,75,1,0,0,0,0,0,0,0,0,2,4,30,1,1,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,0,1,2.8,10,42,4.3,35,10,2.8,18.2,19,2.5,35,0,2.8,13.2,62,2.5,20.2,55,2.8,15.2,130
48,11:35:00 AM,2,4,9,1,15,10,1,0,0,0,0,0,0,0,0,5,4,30,0,4,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,2.3,29,10,1.9,12.4,15,1.8,25,0,1.9,8.9,49,1.8,14.5,40,1.9,10.3,100
49,11:54:00 AM,2,4,12,7,25,10,1,0,0,0,0,0,0,0,0,4,4,30,0,4,60,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.2,12,48,4.6,37,10,3.2,20.8,21,2.7,37,0,3.2,15.1,68,2.7,21.8,60,3.2,17.4,136
50,12:25:00 PM,2,4,6,6,25,35,0,0,0,0,0,0,0,0,0,5,1,40,0,5,80,1,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,2.7,12,41,3.2,33,10,2.7,17.6,18.5,2.5,34,0,2.7,12.7,61,2.5,20.2,55,2.7,14.7,130
51,12:37:00 PM,2,4,4,1,5,10,1,0,0,0,0,0,0,0,0,1,4,40,0,5,30,1,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0.9,5,14,0.6,8,10,0.9,5.9,10,0.6,8,0,0.9,4.2,34,0.6,4.8,25,0.9,4.9,100
52,12:48:00 PM,2,4,9,2,15,35,0,1,0,0,0,0,0,0,0,4,4,40,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,1.3,18,10,1.9,12.4,15,1.3,18,0,1.9,8.9,49,1.3,10.5,30,1.9,10.3,100
53,1:05:00 PM,3,3,1,6,15,10,0,0,0,0,0,0,0,0,0,4,6,20,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.8,10,57,3,41,10,3.8,24.8,24,3,41,0,3.8,17.9,77,3,24.2,60,3.8,20.7,154
54,2:30:00 PM,3,2,13,2,15,10,0,0,0,0,1,0,0,0,0,6,2,30,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.4,6,21,1,14,10,1.4,9.1,15,1,14,0,1.4,6.6,41,1,8.1,30,1.4,7.6,100
55,10:05:00 AM,1,2,2,2,45,75,0,0,0,0,1,0,0,1,0,1,2,20,1,1,5,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,17.7,36,266,17.2,90,40,17.7,115.3,93.5,15.3,210,0,17.7,83.3,286,15.3,123.6,260,17.7,96.3,571
56,1:12:00 PM,3,8,11,1,15,10,1,0,0,0,0,0,0,0,0,3,8,20,0,1,5,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,19.3,34,290,19.2,120,45,19.3,125.7,101.5,17.1,235,0,19.3,90.8,310,17.1,138.2,290,19.3,105,619
57,2:45:00 PM,3,2,12,7,15,35,0,0,0,0,0,0,0,0,0,6,2,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
58,1:19:00 PM,3,1,9,2,5,10,0,0,0,0,0,0,0,0,0,5,1,60,0,5,150,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,1.3,18,10,1.9,12.4,15,1.3,18,0,1.9,8.9,49,1.3,10.5,30,1.9,10.3,100
59,10:11:00 AM,1,2,4,7,15,75,0,0,0,0,1,0,1,0,0,5,2,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.9,5,14,0.6,8,10,0.9,5.9,10,0.6,8,0,0.9,4.2,34,0.6,4.8,25,0.9,4.9,100
60,1:24:00 PM,3,6,11,2,15,35,1,0,0,0,0,0,1,0,0,3,6,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2.5,8,38,2.5,32,10,2.5,16.3,17.5,1.8,25,0,2.5,11.8,58,1.8,14.5,40,2.5,13.6,130
61,10:20:00 AM,1,6,5,2,70,250,1,0,0,0,1,0,0,0,0,2,6,20,0,5,30,1,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0.6,3,9,0.3,4,10,0.6,3.9,10,0.3,4,0,0.6,2.8,29,0.3,2.4,20,0.6,3.3,100
62,1:39:00 PM,3,6,1,2,15,35,1,0,0,0,0,0,0,0,0,4,6,30,0,1,20,0,1,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2,5,30,1.9,27,10,2,13,15,1.9,27,0,2,9.4,50,1.9,15.4,40,2,10.9,100
63,4:15:00 PM,4,6,9,7,5,10,0,0,0,0,0,0,0,0,0,5,4,20,0,4,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,1.3,18,10,1.9,12.4,15,1.3,18,0,1.9,8.9,49,1.3,10.5,30,1.9,10.3,100
64,10:26:00 AM,1,2,14,1,25,10,1,0,0,0,0,0,0,1,0,6,2,20,0,1,20,1,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0.4,2,6,0.4,6,10,0.4,2.6,10,0.4,6,0,0.4,1.9,26,0.4,3.2,20,0.4,2.2,100
65,1:49:00 PM,3,4,9,7,15,10,0,1,0,0,0,0,0,0,0,1,4,30,0,3,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.7,10,56,3.1,28,10,3.7,24.1,23.5,3,42,0,3.7,17.4,76,3,24.2,60,3.7,20.1,151
66,4:15:00 PM,4,6,9,2,5,10,0,0,0,0,0,0,0,0,0,5,4,20,0,5,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,1.3,18,10,1.9,12.4,15,1.3,18,0,1.9,8.9,49,1.3,10.5,30,1.9,10.3,100
67,1:59:00 PM,3,2,6,1,5,10,1,0,0,0,0,0,0,1,0,5,2,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.7,7,26,1.7,22,10,1.7,11.1,15,1.6,22,0,1.7,8,46,1.6,12.9,35,1.7,9.2,100
68,10:31:00 AM,1,2,2,2,45,75,0,0,0,0,1,0,0,1,0,2,2,20,0,1,5,0,1,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.1,7,47,2.9,40,10,3.1,20.2,20.5,2.9,40,0,3.1,14.6,67,2.9,23.4,60,3.1,16.9,133
69,2:11:00 PM,3,2,6,1,5,10,1,0,0,0,0,0,0,1,0,5,2,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.4,7,21,1.7,19,10,1.4,9.1,15,1.2,17,0,1.4,6.6,41,1.2,9.7,30,1.4,7.6,100
70,4:24:00 PM,4,2,12,2,15,35,0,0,0,0,0,0,0,0,0,6,2,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
71,11:18:00 AM,2,4,14,1,15,10,0,0,0,0,1,0,0,0,0,5,4,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.4,2,6,0.4,6,10,0.4,2.6,10,0.4,6,0,0.4,1.9,26,0.4,3.2,20,0.4,2.2,100
72,2:21:00 PM,3,1,12,1,15,10,0,0,0,0,0,0,0,0,0,5,1,40,0,5,60,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,7,24,2.1,25,10,1.6,10.4,15,1.5,21,0,1.6,7.5,44,1.5,12.1,35,1.6,8.7,100
73,11:28:00 AM,2,7,14,1,5,10,0,0,0,0,0,0,0,0,0,4,2,30,0,1,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.4,2,6,0.4,6,10,0.4,2.6,10,0.4,6,0,0.4,1.9,26,0.4,3.2,20,0.4,2.2,100
74,4:35:00 PM,4,4,9,2,15,35,0,0,0,0,0,0,0,0,0,6,2,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,1.3,18,10,1.9,12.4,15,1.3,18,0,1.9,8.9,49,1.3,10.5,30,1.9,10.3,100
75,11:39:00 AM,2,4,9,3,5,35,1,0,0,0,0,0,0,0,0,6,4,30,0,3,30,0,1,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.9,5,29,1.3,18,10,1.9,12.4,15,1.3,18,0,1.9,8.9,49,1.3,10.5,30,1.9,10.3,100
76,2:33:00 PM,3,6,12,2,15,35,1,0,0,0,0,0,0,0,0,1,6,30,0,4,80,0,1,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0.5,3,8,0.5,7,10,0.5,3.3,10,0.5,7,0,0.5,2.4,28,0.5,4,20,0.5,2.7,100
77,4:45:00 PM,4,2,1,2,15,35,0,0,0,0,1,0,0,0,0,6,2,30,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2,5,30,1.9,27,10,2,13,15,1.9,27,0,2,9.4,50,1.9,15.4,40,2,10.9,100
78,12:30:00 PM,2,7,13,1,15,10,0,0,0,0,0,0,0,1,0,4,3,30,0,5,30,0,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0.001,1,0,0,5,10,0.001,0,10,0.001,1,0,0.001,0,20,0.001,0,20,0.001,0,100
79,2:42:00 PM,3,8,15,2,15,35,0,0,0,0,0,0,0,1,0,4,6,20,0,1,20,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,2.9,9,44,4.9,36,10,2.9,18.9,19.5,2.2,31,0,2.9,13.7,64,2.2,17.8,50,2.9,15.8,130
80,4:31:00 PM,4,6,7,2,15,35,0,1,0,0,0,0,0,0,0,3,6,20,0,7,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,6,24,0.6,8,10,1.6,10.4,15,0.6,8,0,1.6,7.5,44,0.6,4.8,25,1.6,8.7,100
81,4:05:00 PM,4,4,11,1,5,10,0,0,0,0,0,0,0,0,0,2,4,30,0,4,20,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
82,2:49:00 PM,3,4,7,1,15,10,1,0,0,0,0,0,0,0,0,4,4,40,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.6,6,24,0.6,8,10,1.6,10.4,15,0.6,8,0,1.6,7.5,44,0.6,4.8,25,1.6,8.7,100
83,2:45:00 PM,3,2,11,2,5,10,0,0,0,0,0,0,0,0,0,6,2,30,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.1,4,17,0.6,9,10,1.1,7.2,15,0.6,9,0,1.1,5.2,37,0.6,4.8,25,1.1,6,100
84,3:03:00 PM,4,5,1,2,15,35,0,0,0,0,1,0,0,0,0,3,5,30,1,1,20,1,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,2,5,30,1.9,27,10,2,13,15,1.9,27,0,2,9.4,50,1.9,15.4,40,2,10.9,100
85,4:10:00 PM,4,4,11,1,5,10,1,0,0,0,0,0,0,0,0,4,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,3.4,8,51,0.6,8,10,3.4,22.2,22,0.6,8,0,3.4,16,71,0.6,4.8,25,3.4,18.5,142
86,2:30:00 PM,3,4,6,7,5,35,0,1,0,0,0,0,0,0,0,6,4,30,0,4,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,1.4,7,21,1.7,19,10,1.4,9.1,15,1.2,17,0,1.4,6.6,41,1.2,9.7,30,1.4,7.6,100
87,3:40:00 PM,4,2,9,7,25,35,1,0,0,0,0,0,1,0,0,3,2,20,0,1,5,1,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,7,20,105,8.6,49,20,7,45.6,40,6.4,90,0,7,32.9,125,6.4,51.7,115,7,38.1,250
88,2:10:00 PM,3,4,11,7,15,35,0,0,0,0,0,0,0,0,0,6,4,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2.7,8,41,2.2,23,10,2.7,17.6,18.5,1.8,24,0,2.7,12.7,61,1.8,14.5,40,2.7,14.7,130
