ID,survey_time,surv_t,trip_purp,eg_st,eg_mode,eg_tt,eg_tc,b1,b2,b3,b4,b5,ec1,ec2,ec3,ec4,trip_freq,gen_purp,age,gen,occ,month_inc,veh_own_car,veh_own_bike,veh_own_cyc,mrt_pass,bus_av,car_av,leg_av,rick_av,walk_av,bike_av,cng_av,car_dist,car_tt,car_cost,bus_dist,bus_tt,bus_cost,leg_dist,leg_tt,leg_cost,walk_dist,walk_tt,walk_cost,bike_dist,bike_tt,bike_cost,rick_dist,rick_tt,rick_cost,cng_dist,cng_tt,cng_cost
883,2:56:00 PM,3,6,6,2,10,30,0,0,0,0,0,0,0,0,0,2,2,20,0,1,30,0,1,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1.8,9.818181818,27,1.5,22,10,1.8,11.73913043,15,1.5,22,0,1.8,8.503937008,41.6,1.5,12.12,32,1.8,9.818181818,100
884,3:05:00 PM,4,7,6,7,20,10,0,0,0,0,0,0,0,0,0,4,1,30,0,5,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,6.6,36,99,6.3,55,15.435,6.6,43.04347826,38,5.3,73,0,6.6,31.18110236,99.2,5.3,42.824,96.8,6.6,36,238
885,3:16:00 PM,4,3,13,1,3,0,0,0,0,0,1,0,0,1,0,2,3,40,1,2,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,0.7,3.818181818,10.5,0.4,6,10,0.7,4.565217391,10,0.4,6,0,0.7,3.307086614,28.4,0.4,3.232,20,0.7,3.818181818,100
886,3:26:00 PM,4,7,14,2,15,30,0,0,0,0,0,0,0,0,0,6,2,20,0,1,5,0,0,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1.6,8.727272727,24,0,5,10,1.6,10.43478261,15,1.3,19,0,1.6,7.559055118,39.2,1.3,10.504,29.6,1.6,8.727272727,100
887,3:33:00 PM,4,7,6,2,25,50,0,1,0,0,0,0,0,1,0,5,4,30,1,4,30,0,1,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1.2,6.545454545,18,1.1,16,10,1.2,7.826086957,15,1.1,16,0,1.2,5.669291339,34.4,1.1,8.888,27.2,1.2,6.545454545,100
888,3:34:00 PM,4,1,6,2,10,30,0,0,0,0,0,0,0,0,0,3,1,30,0,5,60,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2.4,13.09090909,36,2.2,31,10,2.4,15.65217391,17,2.2,31,0,2.4,11.33858268,48.8,2.2,17.776,47.2,2.4,13.09090909,130
889,3:40:00 PM,4,7,6,2,15,40,0,0,0,0,0,0,0,1,0,5,4,30,1,4,30,1,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2.1,11.45454545,31.5,1.9,27,10,2.1,13.69565217,15.5,1.9,27,0,2.1,9.921259843,45.2,1.9,15.352,36.8,2.1,11.45454545,130
890,3:48:00 PM,4,7,6,7,10,10,0,0,0,0,0,0,0,0,0,2,1,40,0,5,60,0,1,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1.3,7.090909091,19.5,1.2,17,10,1.3,8.47826087,15,1.2,17,0,1.3,6.141732283,35.6,1.2,9.696,28.4,1.3,7.090909091,100
891,4:06:00 PM,4,6,16,2,20,50,0,0,0,0,0,0,1,0,0,2,6,30,1,2,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,3.6,19.63636364,54,1.7,23,10,3.6,23.47826087,23,1.7,23,0,3.6,17.00787402,63.2,1.7,13.736,34.4,3.6,19.63636364,148
892,4:39:00 PM,4,6,6,2,10,20,0,0,0,0,0,0,0,1,0,2,6,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2.6,14.18181818,39,1.6,15,10,2.6,16.95652174,18,1.6,21,0,2.6,12.28346457,51.2,1.6,12.928,33.2,2.6,14.18181818,130
893,4:45:00 PM,4,6,6,2,15,30,0,0,0,0,0,0,0,1,0,1,6,20,1,1,5,1,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2.6,14.18181818,39,1.6,15,10,2.6,16.95652174,18,1.6,21,0,2.6,12.28346457,51.2,1.6,12.928,33.2,2.6,14.18181818,130
894,4:50:00 PM,4,7,6,1,5,0,1,0,0,0,0,0,0,1,0,6,2,20,1,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,0.5,2.727272727,7.5,0.2,4,10,0.5,3.260869565,10,0.2,4,0,0.5,2.362204724,26,0.2,1.616,20,0.5,2.727272727,100
895,4:58:00 PM,4,6,6,2,10,30,0,0,0,0,0,0,0,1,0,1,6,20,0,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2.6,14.18181818,39,1.6,15,10,2.6,16.95652174,18,1.6,21,0,2.6,12.28346457,51.2,1.6,12.928,33.2,2.6,14.18181818,130
896,5:07:00 PM,5,4,6,2,60,20,0,0,0,0,0,0,0,0,0,6,4,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2.4,13.09090909,36,2.3,32,10,2.4,15.65217391,17,2.3,32,0,2.4,11.33858268,48.8,2.3,18.584,48.8,2.4,13.09090909,130
897,5:16:00 PM,5,6,4,7,15,10,0,0,0,0,0,0,0,0,0,4,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1.7,9.272727273,25.5,1.8,24,10,1.7,11.08695652,15,1.8,24,0,1.7,8.031496063,40.4,1.8,14.544,35.6,1.7,9.272727273,100
898,5:19:00 PM,5,6,6,2,10,20,0,0,0,0,0,0,0,1,0,5,4,30,0,4,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2.6,14.18181818,39,1.6,15,10,2.6,16.95652174,18,1.6,21,0,2.6,12.28346457,51.2,1.6,12.928,33.2,2.6,14.18181818,130
899,5:37:00 PM,5,4,3,7,20,10,1,0,0,0,0,0,0,0,0,2,4,30,0,4,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2.9,15.81818182,43.5,2.9,20,10,2.9,18.91304348,19.5,1.2,16,0,2.9,13.7007874,54.8,1.2,9.696,28.4,2.9,15.81818182,130
900,5:34:00 PM,5,7,6,2,5,20,0,0,0,0,0,0,0,0,0,6,4,30,0,3,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1,5.454545455,15,1,14,10,1,6.52173913,10,1,14,0,1,4.724409449,32,1,8.08,26,1,5.454545455,100
